"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","545","test_add_to_cart_and_verify[chromium]","tests.sauce_demo","Thu May 07 15:49:48 UTC 2026","passed","Thu May 07 15:49:49 UTC 2026","","test_cart","",""
"","0","test_add_new_employee[chromium]","tests.orange_hrm","Thu May 07 15:50:20 UTC 2026","broken","Thu May 07 15:50:20 UTC 2026","","test_pim","",""
"Verifies a user can successfully buy an item from start to finish.","874","test_e2e_purchase_flow[chromium]","tests.sauce_demo","Thu May 07 15:49:49 UTC 2026","passed","Thu May 07 15:49:50 UTC 2026","","test_checkout_complete","",""
"Verifies that we can access inventory via stored session.","367","test_verify_inventory_access[chromium]","tests.sauce_demo","Thu May 07 15:49:48 UTC 2026","passed","Thu May 07 15:49:49 UTC 2026","","test_inventory","",""
"
    Validates the standard login flow for OrangeHRM.
    Uses 'config_data' fixture from conftest.py.
    ","0","test_login_successful[chromium]","tests.orange_hrm","Thu May 07 15:49:47 UTC 2026","broken","Thu May 07 15:49:47 UTC 2026","","test_login","",""
"","456","test_valid_logins[chromium-0]","tests.sauce_demo","Thu May 07 15:49:49 UTC 2026","passed","Thu May 07 15:49:49 UTC 2026","","test_login","",""
"","5391","test_valid_logins[chromium-2]","tests.sauce_demo","Thu May 07 15:49:50 UTC 2026","passed","Thu May 07 15:49:55 UTC 2026","","test_login","",""
"","499","test_valid_logins[chromium-1]","tests.sauce_demo","Thu May 07 15:49:49 UTC 2026","passed","Thu May 07 15:49:50 UTC 2026","","test_login","",""
